Variety URL;Variety number;Abbreviation;Variety;Contributor(s);Variety type (narrow);Variety type (broad);World Region;feature 1;feature 2;feature 3;feature 4;feature 5;feature 6;feature 7;feature 8;feature 9;feature 10;feature 11;feature 12;feature 13;feature 14;feature 15;feature 16;feature 17;feature 18;feature 19;feature 20;feature 21;feature 22;feature 23;feature 24;feature 25;feature 26;feature 27;feature 28;feature 29;feature 30;feature 31;feature 32;feature 33;feature 34;feature 35;feature 36;feature 37;feature 38;feature 39;feature 40;feature 41;feature 42;feature 43;feature 44;feature 45;feature 46;feature 47;feature 48;feature 49;feature 50;feature 51;feature 52;feature 53;feature 54;feature 55;feature 56;feature 57;feature 58;feature 59;feature 60;feature 61;feature 62;feature 63;feature 64;feature 65;feature 66;feature 67;feature 68;feature 69;feature 70;feature 71;feature 72;feature 73;feature 74;feature 75;feature 76;feature 77;feature 78;feature 79;feature 80;feature 81;feature 82;feature 83;feature 84;feature 85;feature 86;feature 87;feature 88;feature 89;feature 90;feature 91;feature 92;feature 93;feature 94;feature 95;feature 96;feature 97;feature 98;feature 99;feature 100;feature 101;feature 102;feature 103;feature 104;feature 105;feature 106;feature 107;feature 108;feature 109;feature 110;feature 111;feature 112;feature 113;feature 114;feature 115;feature 116;feature 117;feature 118;feature 119;feature 120;feature 121;feature 122;feature 123;feature 124;feature 125;feature 126;feature 127;feature 128;feature 129;feature 130;feature 131;feature 132;feature 133;feature 134;feature 135;feature 136;feature 137;feature 138;feature 139;feature 140;feature 141;feature 142;feature 143;feature 144;feature 145;feature 146;feature 147;feature 148;feature 149;feature 150;feature 151;feature 152;feature 153;feature 154;feature 155;feature 156;feature 157;feature 158;feature 159;feature 160;feature 161;feature 162;feature 163;feature 164;feature 165;feature 166;feature 167;feature 168;feature 169;feature 170;feature 171;feature 172;feature 173;feature 174;feature 175;feature 176;feature 177;feature 178;feature 179;feature 180;feature 181;feature 182;feature 183;feature 184;feature 185;feature 186;feature 187;feature 188;feature 189;feature 190;feature 191;feature 192;feature 193;feature 194;feature 195;feature 196;feature 197;feature 198;feature 199;feature 200;feature 201;feature 202;feature 203;feature 204;feature 205;feature 206;feature 207;feature 208;feature 209;feature 210;feature 211;feature 212;feature 213;feature 214;feature 215;feature 216;feature 217;feature 218;feature 219;feature 220;feature 221;feature 222;feature 223;feature 224;feature 225;feature 226;feature 227;feature 228;feature 229;feature 230;feature 231;feature 232;feature 233;feature 234;feature 235
http://ewave-atlas.org/varieties/1;1;O&SE;Orkney and Shetland English;Gunnel Melchers;L1t;L1;British Isles;B;B;X;B;D;D;B;B;D;D;D;B;D;D;C;?;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;A;D;D;D;D;D;D;D;D;D;?;D;D;D;D;D;D;D;D;D;D;B;D;D;?;A;D;D;D;B;D;D;D;D;A;D;A;?;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;A;C;D;D;D;D;D;D;B;?;D;X;D;?;A;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;B;D;D;D;D;D;D;B;D;B;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;D;D;D;D;D;B;A;B;D;D;D;D;D;D;D;A;D;B;D;D;D;D;A;D;D;D;D;D;D;D;D;?;?;D;D;D;D;D;?;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;A;A;D;D;D;D;D;C;D;B;D;D;C;B;?;?
http://ewave-atlas.org/varieties/2;2;ScE;Scottish English;Jennifer Smith;L1t;L1;British Isles;B;D;?;D;D;D;A;B;D;D;B;D;D;D;C;?;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;B;C;D;D;D;B;D;D;D;B;D;B;D;D;D;A;D;D;B;D;?;D;D;D;D;D;B;D;D;D;D;D;D;D;B;B;D;B;B;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;A;D;D;D;D;D;D;C;B;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;B;B;D;D;D;D;D;D;C;B;D;A;D;D;D;B;B;B;B;D;D;D;D;D;D;D;D;D;D;D;D;B;D;D;B;D;D;D;D;D;D;B;C;D;D;D;B;D;D;D;?;B;C;D;D;D;D;D;D;A;D;D;?;D;D;D;?;B;B;D;B;D;D;D;D;B;D;D;D;D;C;D;D;D;D;D;D;D;D;C;D;B;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;B;B;D;D;D;B;D;D;D;B;D;D;D;C;A;A
http://ewave-atlas.org/varieties/3;3;IrE;Irish English;Markku Filppula;L1c;L1;British Isles;B;D;A;D;D;D;B;A;B;D;B;A;D;C;A;B;D;D;D;D;D;D;D;D;D;A;D;B;B;D;D;D;D;A;A;D;D;B;B;D;D;D;B;C;B;D;D;D;D;D;D;D;D;B;D;B;D;D;D;A;D;D;D;A;D;C;D;A;C;B;D;B;D;D;D;D;D;B;C;B;D;D;D;D;D;D;D;B;B;B;B;C;B;D;C;B;B;A;A;D;A;B;C;D;D;D;D;D;B;D;D;D;B;D;D;D;D;D;D;B;D;B;B;B;D;D;D;D;B;B;D;D;D;D;D;C;D;D;D;D;D;D;D;D;D;D;A;D;D;D;D;D;D;B;D;D;D;B;A;D;D;D;C;B;D;D;D;D;D;D;B;A;C;B;B;D;D;D;D;B;B;D;D;D;B;D;D;D;B;D;D;B;B;B;D;D;D;B;D;D;D;A;B;A;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;A;A;B;B;B;D;D;A;B;A;B;C;B;B;A;A
http://ewave-atlas.org/varieties/4;4;ManxE;Manx English;Jennifer Kewley Draskau;L1c;L1;British Isles;C;D;B;D;D;D;B;B;D;D;C;A;D;C;A;C;D;D;D;D;D;D;D;D;D;A;D;A;A;D;D;D;D;C;D;D;D;D;D;D;C;D;D;D;D;D;D;C;D;D;D;B;D;C;D;D;D;D;D;A;D;D;D;A;D;D;D;A;B;B;D;C;A;D;D;D;C;C;C;C;D;D;D;D;D;D;C;A;A;D;D;D;D;D;C;B;B;D;B;B;B;B;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;C;B;B;D;D;D;C;B;D;D;D;B;D;D;D;D;D;D;D;B;D;D;D;D;D;D;A;D;D;D;D;A;D;D;D;B;D;D;D;D;D;D;D;B;B;D;D;D;D;D;D;D;C;D;D;D;D;C;D;D;D;D;C;D;D;A;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;B;B;D;B;D;C;D;C;D;C;D;D;B;A;C;D
http://ewave-atlas.org/varieties/5;5;WelE;Welsh English;Robert Penhallurick;L1c;L1;British Isles;B;B;B;D;D;D;A;B;D;D;C;B;C;C;C;D;D;D;D;D;C;D;D;D;D;A;C;A;A;C;C;D;C;C;C;D;D;D;D;D;D;D;D;D;D;D;D;C;B;D;D;C;D;B;D;B;D;D;D;B;D;C;C;D;D;D;D;A;D;B;D;B;D;D;D;D;D;B;B;B;D;D;C;D;D;D;D;B;B;D;B;B;D;D;B;B;D;D;B;C;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;B;B;B;C;C;C;C;B;B;B;B;D;D;D;D;C;C;C;A;D;D;D;D;D;D;B;C;C;D;B;B;D;D;D;D;D;A;D;D;C;D;C;B;B;D;D;D;D;D;D;B;B;D;D;D;C;D;C;B;C;D;B;D;B;C;D;D;D;D;D;D;D;D;B;D;B;D;D;B;D;D;D;D;D;D;D;D;B;D;D;D;B;A;D;A;A;A;D;B;B;B;D;D;B;C;A;A
http://ewave-atlas.org/varieties/6;6;North;English dialects in the North of England;Graeme Trousdale;L1t;L1;British Isles;C;C;?;D;D;D;A;C;C;D;A;A;D;D;D;D;X;D;B;C;D;D;D;C;D;A;B;B;A;C;C;?;C;A;B;D;D;D;D;D;D;D;C;D;D;D;D;C;B;D;D;D;D;D;D;B;D;D;D;A;D;B;B;B;C;D;D;A;C;C;D;B;X;D;X;X;C;B;C;C;D;D;D;D;D;D;X;B;D;D;D;D;D;D;B;B;D;D;C;C;D;C;D;D;D;D;D;D;D;X;D;D;D;D;D;D;D;C;D;D;C;A;D;A;D;D;D;B;B;B;B;D;D;D;D;C;B;C;B;X;X;X;X;X;X;C;A;X;X;X;X;X;X;B;C;C;D;B;B;D;D;X;B;C;C;D;X;D;D;D;D;C;D;D;D;D;D;D;D;B;B;B;B;D;B;C;B;B;C;B;D;B;C;B;D;D;B;D;D;D;D;B;B;B;D;D;D;D;D;D;B;D;D;D;D;B;X;D;D;B;B;D;?;D;D;D;B;D;D;D;D;B;D;B;B
http://ewave-atlas.org/varieties/7;7;SW;English dialects in the Southwest of England;Susanne Wagner;L1t;L1;British Isles;C;B;?;D;D;D;B;C;?;D;B;A;C;B;X;X;X;X;X;X;X;X;X;X;X;A;D;B;?;B;B;C;C;C;B;X;X;X;X;X;X;?;?;?;X;?;?;?;?;X;X;?;X;?;?;B;D;D;?;B;C;C;C;C;C;X;X;B;D;C;?;?;X;X;X;X;X;C;?;?;?;?;D;?;?;?;X;?;?;C;C;B;D;X;C;B;C;D;B;?;C;C;?;X;X;X;X;?;?;X;X;X;?;X;X;X;?;?;?;B;D;?;?;?;D;D;?;B;?;B;B;?;D;C;C;C;?;?;C;X;X;X;X;D;D;?;A;X;X;X;X;X;X;A;B;C;?;C;B;X;X;X;B;D;B;D;D;X;?;C;C;A;?;?;C;D;D;D;B;C;C;C;D;?;?;?;C;C;X;C;X;C;A;C;?;D;C;?;X;X;C;C;C;B;X;X;X;?;?;X;C;?;?;?;X;B;B;D;D;B;A;X;C;C;X;?;B;B;B;X;X;A;?;A;D
http://ewave-atlas.org/varieties/8;8;EA;East Anglian English;Peter Trudgill;L1t;L1;British Isles;C;D;D;A;D;D;A;C;D;D;A;A;D;D;D;D;D;D;D;D;D;D;D;D;D;A;D;A;A;D;D;A;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;D;A;D;D;D;D;D;D;D;D;D;D;D;A;D;B;D;A;D;D;D;D;D;A;B;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;C;A;D;D;C;C;D;D;D;D;D;D;D;D;D;D;D;D;C;D;D;D;D;D;D;D;D;D;D;D;D;D;D;A;A;A;A;D;D;A;D;D;D;D;A;D;D;D;D;D;D;D;A;D;D;D;D;D;D;A;A;A;D;A;A;D;D;D;A;D;D;D;D;D;D;A;D;A;D;D;D;D;D;D;D;A;D;D;D;A;A;D;D;D;D;A;D;B;C;D;D;D;B;C;D;D;D;D;D;A;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;A;D;D;D;D;D;D;D;A;D;D;C;A;B;B
http://ewave-atlas.org/varieties/9;9;SE;English dialects in the Southeast of England;Lieselotte Anderwald;L1t;L1;British Isles;D;D;D;D;D;D;A;C;D;D;B;B;D;B;D;D;D;D;D;D;D;D;D;D;D;A;D;A;B;D;D;D;D;D;D;D;D;D;D;D;D;?;?;?;D;D;D;D;D;D;D;C;D;?;D;B;D;D;C;D;D;D;D;D;D;D;D;A;D;C;D;?;D;D;D;D;D;B;B;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;?;D;D;D;D;D;D;D;D;D;D;D;D;D;?;D;D;D;D;D;D;C;D;B;D;D;D;D;D;C;B;C;B;D;C;C;D;D;D;D;A;D;D;D;D;D;C;D;A;D;D;D;D;D;D;B;B;B;D;B;B;D;D;D;B;D;B;D;D;D;D;D;B;A;D;D;B;D;D;D;D;B;D;D;D;D;?;D;B;D;D;B;D;D;B;?;D;D;D;D;D;D;D;B;C;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;A;D;D;D;D;D;?;D;?;D;D;C;D;B;B
http://ewave-atlas.org/varieties/10;10;ChIsE;Channel Islands English;Anna Rosen;L1c;L1;British Isles;C;C;D;D;D;D;B;B;D;D;D;D;D;D;D;D;X;D;D;D;D;D;D;D;D;C;D;B;D;D;D;D;D;B;D;D;D;D;D;D;D;D;C;D;D;D;D;D;D;D;D;D;D;?;D;B;D;D;D;D;D;D;D;B;D;D;D;B;D;D;D;D;D;D;D;X;D;?;?;C;D;D;D;D;D;D;D;C;D;D;D;D;D;D;D;D;D;D;C;D;C;D;D;D;D;D;D;D;D;D;D;D;C;D;D;D;C;D;D;C;D;D;D;D;D;D;D;C;C;D;C;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;B;C;C;C;C;B;D;D;D;D;D;A;D;D;D;D;C;C;A;D;D;C;D;D;D;C;C;D;D;D;D;C;C;D;D;D;C;D;D;B;C;D;D;C;D;D;D;D;C;D;B;D;D;D;D;D;D;D;D;C;D;D;C;D;D;D;B;B;D;D;D;D;D;D;D;B;D;D;D;D;B;B
